id,Название,Год,Рейтинг,Страна,Жанр,Режиссёр
535341,1+1,2011,8.3,Франция,драма,Оливье Накаш
258687,Интерстеллар,2014,8.3,США,фантастика,Кристофер Нолан
326,Побег из Шоушенка,1994,8.2,США,драма,Фрэнк Дарабонт
1143242,Джентльмены,2019,8.2,США,криминал,Гай Ричи
435,Зеленая миля,1999,8.1,США,драма,Фрэнк Дарабонт
397667,Остров проклятых,2009,8.1,США,триллер,Мартин Скорсезе
448,Форрест Гамп,1994,8.1,США,драма,Роберт Земекис
3498,Властелин колец: Возвращение короля,2003,8.1,Новая Зеландия,фэнтези,Питер Джексон
444,Терминатор 2: Судный день,1991,8.0,США,фантастика,Джеймс Кэмерон
1108577,Зеленая книга,2018,8.0,США,биография,Питер Фаррелли
328,Властелин колец: Братство кольца,2001,8.0,Новая Зеландия,фэнтези,Питер Джексон
370,Унесённые призраками,2001,8.0,Япония,аниме,Хаяо Миядзаки
361,Бойцовский клуб,1999,8.0,США,триллер,Дэвид Финчер
474,Гладиатор,2000,8.0,США,история,Ридли Скотт
447301,Начало,2010,8.0,США,фантастика,Кристофер Нолан
456,Унесённые ветром,1939,7.9,США,мелодрама,Виктор Флеминг
32898,Достучаться до небес,1997,7.9,Германия,драма,Томас Ян
389,Леон,1994,7.9,Франция,боевик,Люк Бессон
312,Властелин колец: Две крепости,2002,7.9,Новая Зеландия,фэнтези,Питер Джексон
342,Криминальное чтиво,1994,7.9,США,криминал,Квентин Тарантино
42782,Операция «Ы» и другие приключения Шурика,1965,7.9,СССР,комедия,Леонид Гайдай
329,Список Шиндлера,1993,7.9,США,драма,Стивен Спилберг
44168,Девчата,1961,7.8,СССР,мелодрама,Юрий Чулюкин
111543,Темный рыцарь,2008,7.8,США,фантастика,Кристофер Нолан
679486,Тайна Коко,2017,7.8,США,мультфильм,Ли Анкрич
46225,Бриллиантовая рука,1968,7.8,СССР,комедия,Леонид Гайдай
462682,Волк с Уолл-стрит,2013,7.8,США,драма,Мартин Скорсезе
41519,Брат,1997,7.8,Россия,драма,Алексей Балабанов
41520,Брат 2,2000,7.8,Россия,боевик,Алексей Балабанов
77335,Собачье сердце,1988,7.8,СССР,драма,Владимир Бортко
325,Крестный отец,1972,7.8,США,драма,Фрэнсис Форд Коппола
2656,Пятый элемент,1997,7.8,Франция,фантастика,Люк Бессон
970882,Дангал,2016,7.8,Индия,драма,Нитеш Тивари
526,Большой куш,2000,7.7,Великобритания,криминал,Гай Ричи
430,Шрэк,2001,7.7,США,мультфильм,Эндрю Адамсон
476,Назад в будущее,1985,7.7,США,фантастика,Роберт Земекис
387556,Хатико: Самый верный друг,2008,7.7,США,драма,Лассе Халльстрём
5457899,Дикий робот,2024,7.7,США,мультфильм,Крис Сандерс
324,"Поймай меня, если сможешь",2002,7.7,США,криминал,Стивен Спилберг
522,"Карты, деньги, два ствола",1998,7.7,Великобритания,боевик,Гай Ричи
44745,"Кавказская пленница, или Новые приключения Шурика",1966,7.7,СССР,комедия,Леонид Гайдай
3563,Трасса 60,2001,7.6,Канада,фэнтези,Боб Гейл
355,Пианист,2002,7.6,Франция,драма,Роман Полански
2213,Титаник,1997,7.6,США,мелодрама,Джеймс Кэмерон
689,Гарри Поттер и философский камень,2001,7.6,Великобритания,фэнтези,Крис Коламбус
586397,Джанго освобожденный,2012,7.6,США,вестерн,Квентин Тарантино
301,Матрица,1999,7.6,США,фантастика,Лана Вачовски
42571,Иди и смотри,1985,7.6,СССР,драма,Элем Климов
41381,В августе 44-го,2001,7.6,Россия,боевик,Михаил Пташук
43395,...А зори здесь тихие,1972,7.6,СССР,драма,Станислав Ростоцкий
195334,Престиж,2006,7.6,Великобритания,триллер,Кристофер Нолан
4374,Пираты Карибского моря: Проклятие Черной жемчужины,2003,7.6,США,фэнтези,Гор Вербински
5003510,F1,2025,7.6,США,боевик,Джозеф Косински
81314,Отступники,2006,7.6,США,криминал,Мартин Скорсезе
81297,Малышка на миллион,2004,7.6,США,драма,Клинт Иствуд
1228407,Крик тишины,2019,7.6,Россия,драма,Владимир Потапов
51481,Хористы,2004,7.6,Франция,драма,Кристоф Барратье
1188529,Достать ножи,2019,7.6,США,детектив,Райан Джонсон
965754,Дело храбрых,2017,7.6,США,драма,Джозеф Косински
436263,Брестская крепость,2010,7.6,Беларусь,военный,Александр Котт
322,Гарри Поттер и узник Азкабана,2004,7.6,Великобритания,фэнтези,Альфонсо Куарон
377,Семь,1995,7.6,США,триллер,Дэвид Финчер
9691,Бесславные ублюдки,2009,7.6,Германия,боевик,Квентин Тарантино
803422,Пеле: Рождение легенды,2015,7.6,США,биография,Джефф Цимбалист
848894,Вторая жизнь Уве,2015,7.5,Швеция,драма,Ханнес Холм
725190,Одержимость,2013,7.5,США,драма,Дэмьен Шазелл
8124,Один дома,1990,7.5,США,комедия,Крис Коламбус
6402838,Атака Титанов: Последняя атака,2024,7.5,Япония,аниме,Дзюн Сисидо
46789,12 стульев,1971,7.5,СССР,комедия,Леонид Гайдай
160977,Апокалипсис,2006,7.5,США,боевик,Мэл Гибсон
42664,Иван Васильевич меняет профессию,1973,7.5,СССР,комедия,Леонид Гайдай
81512,Самый быстрый Indian,2005,7.5,Новая Зеландия,драма,Роджер Дональдсон
42770,Они сражались за Родину,1975,7.5,СССР,драма,Сергей Бондарчук
77269,Шерлок Холмс и доктор Ватсон: Знакомство,1979,7.5,СССР,криминал,Игорь Масленников
63912,Укрощение строптивого,1980,7.5,Италия,мелодрама,Франко Кастеллано
819101,Омерзительная восьмерка,2015,7.5,США,вестерн,Квентин Тарантино
5273,Шрэк 2,2004,7.5,США,мультфильм,Эндрю Адамсон
